date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,terpenes_monoterpenes,terpenes_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-11-21,3.130000e+01,-9.609999e+01,2.662428e-10,2.526732e-11,3.000243e-11,7.027828e-12,2.355290e-11,2.981032e-09,1.125578e-11,5.246616e-14,4.954933e-13,4.058445e-12,1.709324e-12,1.201058e-12,1.578686e-12,8.688102e-13,1.246507e-12,6.423527e-12,8.308847e-12,3.393148e-12,3.777862e-12,5.546095e-13,9.757605e-13,2.001878e-13,5.838466e-13,1.473547e-13,8.576199e-14,9.722750e-15,8.833026e-14,1.719826e-13,7.392144e-13,2.114698e-13,2.954067e-11,1.210997e-12,1.246507e-12,3.199817e-11,6.351615e-12,2.428394e-13,8.688102e-13,7.463265e-12,1.201058e-12,1.201058e-12,9.757605e-13,2.133295e-12,2.001878e-13,3.309243e-12,1.473237e-11,3.393148e-12,1.130825e-11,2.943377e-11,2.662428e-10,7.027828e-12,2.355290e-11,3.000243e-11,2.981032e-09,3.307858e-09,,,,,,,,,
2018-11-21,3.290000e+01,-1.107000e+02,3.630584e-10,1.318295e-11,2.087126e-11,1.249392e-11,2.944113e-11,5.962063e-09,8.658292e-12,1.049323e-13,4.954933e-13,5.140697e-12,1.972296e-12,1.648511e-13,2.706318e-12,1.846222e-12,7.872675e-13,4.447057e-12,2.919324e-12,2.930446e-12,1.971058e-12,1.016784e-12,1.707581e-12,8.897233e-14,9.730775e-13,3.578614e-13,5.360124e-13,3.402962e-14,1.472171e-13,8.599130e-14,4.341418e-13,1.166730e-13,1.564950e-11,7.840232e-13,7.872675e-13,1.722079e-11,8.086072e-12,9.279035e-13,1.846222e-12,1.086020e-11,1.648511e-13,1.648511e-13,1.707581e-12,3.723103e-12,8.897233e-14,5.519655e-12,7.366382e-12,2.930446e-12,8.763225e-12,1.906005e-11,3.630584e-10,1.249392e-11,2.944113e-11,2.087126e-11,5.962063e-09,6.387928e-09,1.021347e-13,1.021347e-13,1.021347e-13,,,,,,
2018-11-21,3.350000e+01,-1.109000e+02,3.291729e-09,1.197451e-10,1.826235e-10,1.132261e-10,2.649702e-10,5.342926e-08,7.835754e-11,9.403550e-13,4.645250e-12,4.491346e-11,1.814513e-11,1.365909e-12,2.503344e-11,1.694180e-11,7.085408e-12,3.755293e-11,2.649848e-11,2.575708e-11,1.724676e-11,9.428362e-12,1.475838e-11,8.007510e-13,8.627954e-12,3.283905e-12,4.781231e-12,3.038359e-13,1.383841e-12,8.083182e-13,3.860342e-12,1.042765e-12,1.416371e-10,7.095265e-12,7.085408e-12,1.558178e-10,7.168654e-11,8.368971e-12,1.694180e-11,9.699731e-11,1.365909e-12,1.365909e-12,1.475838e-11,3.446180e-11,8.007510e-13,5.002094e-11,6.405141e-11,2.575708e-11,7.929789e-11,1.691064e-10,3.291729e-09,1.132261e-10,2.649702e-10,1.826235e-10,5.342926e-08,5.728187e-08,7.660105e-13,7.660105e-13,7.660105e-13,5.579116e-14,5.579116e-14,,,,
2018-11-21,3.370000e+01,-1.089000e+02,6.535051e-10,2.416874e-11,3.652470e-11,2.264523e-11,5.299403e-11,1.077758e-08,1.558493e-11,1.896853e-13,9.290500e-13,8.928581e-12,3.681620e-12,2.826018e-13,4.961583e-12,3.366639e-12,1.443324e-12,7.411762e-12,5.389522e-12,5.089722e-12,3.449352e-12,1.848698e-12,2.927281e-12,1.557016e-13,1.751540e-12,6.525708e-13,9.648224e-13,6.076719e-14,2.649908e-13,1.547843e-13,7.744150e-13,2.114698e-13,2.854714e-11,1.405660e-12,1.443324e-12,3.139613e-11,1.436174e-11,1.678160e-12,3.366639e-12,1.940654e-11,2.826018e-13,2.826018e-13,2.927281e-12,6.810282e-12,1.557016e-13,9.893265e-12,1.280128e-11,5.089722e-12,1.577461e-11,3.366562e-11,6.535051e-10,2.264523e-11,5.299403e-11,3.652470e-11,1.077758e-08,1.750042e+03,1.532021e-13,1.532021e-13,1.532021e-13,1.859705e-14,1.859705e-14,1.350060e+03,3.999825e+02,1.350060e+03,3.999825e+02
2018-11-21,3.390000e+01,-9.690001e+01,1.936311e-10,7.690053e-12,1.174008e-11,7.027828e-12,1.472056e-11,3.210342e-09,4.762061e-12,5.650202e-14,3.096833e-13,2.705630e-12,1.051891e-12,9.420060e-14,1.578686e-12,1.086013e-12,4.592394e-13,2.470587e-12,1.571944e-12,1.542340e-12,9.855291e-13,5.546095e-13,8.537904e-13,4.448617e-14,5.189747e-13,2.105067e-13,3.001670e-13,1.823016e-14,8.833026e-14,5.159478e-14,2.346712e-13,6.562856e-14,8.985266e-12,4.402248e-13,4.592394e-13,9.884730e-12,4.276496e-12,5.289038e-13,1.086013e-12,5.891413e-12,9.420060e-14,9.420060e-14,8.537904e-13,2.133295e-12,4.448617e-14,3.031572e-12,4.042531e-12,1.542340e-12,4.818563e-12,1.040343e-11,1.936311e-10,7.027828e-12,1.472056e-11,1.174008e-11,3.210342e-09,3.437462e-09,5.106737e-14,5.106737e-14,5.106737e-14,,,,,,
2018-11-21,3.430000e+01,-9.490001e+01,9.875186e-09,4.482203e-10,5.322171e-10,3.185949e-10,1.201198e-09,9.355853e-08,1.766291e-10,1.646630e-12,2.527016e-11,1.103897e-10,5.364646e-11,9.608462e-12,9.201482e-11,4.430932e-11,2.676710e-11,2.015999e-10,9.162186e-11,6.292746e-11,6.701598e-11,3.771345e-11,4.976379e-11,4.537589e-12,2.646771e-11,8.588674e-12,8.747723e-12,4.958602e-13,1.201292e-11,7.016890e-12,4.775559e-12,2.975161e-12,5.405064e-10,2.678053e-11,2.676710e-11,5.940540e-10,1.905039e-10,1.783226e-11,4.430932e-11,2.526455e-10,9.608462e-12,9.608462e-12,4.976379e-11,1.297283e-10,4.537589e-12,1.840297e-10,2.932218e-10,6.292746e-11,1.782758e-10,5.344250e-10,9.875186e-09,3.185949e-10,1.201198e-09,5.322171e-10,9.355853e-08,6.249939e+02,2.083549e-11,2.083549e-11,2.083549e-11,7.587596e-12,7.587596e-12,3.249893e+02,3.000046e+02,3.249893e+02,3.000046e+02
2018-11-21,3.470000e+01,-9.830000e+01,1.597457e-09,5.822469e-11,8.739839e-11,5.466089e-11,1.265969e-10,2.591205e-08,3.809648e-11,4.560520e-13,2.229720e-12,2.164504e-11,8.809591e-12,6.594042e-13,1.217843e-11,8.253697e-12,3.411493e-12,1.828235e-11,1.280011e-11,1.249295e-11,8.376997e-12,4.529311e-12,7.196234e-12,3.892540e-13,4.151797e-12,1.599851e-12,2.315574e-12,1.470566e-13,6.771987e-13,3.955600e-13,1.865636e-12,5.031523e-13,6.883141e-11,3.441547e-12,3.411493e-12,7.568444e-11,3.460643e-11,4.062481e-12,8.253697e-12,4.692260e-11,6.594042e-13,6.594042e-13,7.196234e-12,1.670774e-11,3.892540e-13,2.429323e-11,3.108246e-11,1.249295e-11,3.855254e-11,8.212795e-11,1.597457e-09,5.466089e-11,1.265969e-10,8.739839e-11,2.591205e-08,2.777820e-08,3.574716e-13,3.574716e-13,3.574716e-13,3.719410e-14,3.719410e-14,,,,
2018-11-21,3.630000e+01,-1.185000e+02,4.598739e-10,2.087300e-11,2.478462e-11,1.483653e-11,5.593814e-11,4.356893e-09,8.225378e-12,7.668131e-14,1.176797e-12,5.140697e-12,2.498242e-12,4.474529e-13,4.285004e-12,2.063424e-12,1.246507e-12,9.388232e-12,4.266705e-12,2.930446e-12,3.120842e-12,1.756263e-12,2.317431e-12,2.113093e-13,1.232565e-12,3.999627e-13,4.073695e-13,2.309153e-14,5.594250e-13,3.267669e-13,2.229377e-13,1.385492e-13,2.517064e-11,1.247679e-12,1.246507e-12,2.766483e-11,8.871505e-12,8.304237e-13,2.063424e-12,1.176535e-11,4.474529e-13,4.474529e-13,2.317431e-12,6.041267e-12,2.113093e-13,8.570008e-12,1.365494e-11,2.930446e-12,8.302060e-12,2.488744e-11,4.598739e-10,1.483653e-11,5.593814e-11,2.478462e-11,4.356893e-09,4.912679e-09,9.702800e-13,9.702800e-13,9.702800e-13,3.533440e-13,3.533440e-13,,,,
2018-11-21,3.630000e+01,-1.187000e+02,1.064971e-09,4.833748e-11,5.739596e-11,3.435827e-11,1.295410e-10,1.008965e-08,1.904824e-11,1.775778e-13,2.725214e-12,1.190477e-11,5.785403e-12,1.036207e-12,9.923166e-12,4.778456e-12,2.886648e-12,2.174117e-11,9.880791e-12,6.786296e-12,7.227213e-12,4.067136e-12,5.366682e-12,4.893478e-13,2.854361e-12,9.262295e-13,9.433819e-13,5.347512e-14,1.295511e-12,7.567235e-13,5.162767e-13,3.208507e-13,5.828990e-11,2.889361e-12,2.886648e-12,6.406591e-11,2.054454e-11,1.923086e-12,4.778456e-12,2.724608e-11,1.036207e-12,1.036207e-12,5.366682e-12,1.399030e-11,4.893478e-13,1.984633e-11,3.162196e-11,6.786296e-12,1.922582e-11,5.763408e-11,1.064971e-09,3.435827e-11,1.295410e-10,5.739596e-11,1.008965e-08,1.250044e+03,2.246964e-12,2.246964e-12,2.246964e-12,8.182704e-13,8.182704e-13,7.500481e+02,4.999958e+02,7.500481e+02,4.999958e+02
2018-11-21,3.650000e+01,-1.187000e+02,2.885104e-08,1.309506e-09,1.554909e-09,9.307969e-10,3.509383e-09,2.733377e-07,5.160343e-10,4.810743e-12,7.382851e-11,3.225112e-10,1.567318e-10,2.807178e-11,2.688276e-10,1.294527e-10,7.820191e-11,5.889880e-10,2.676796e-10,1.838469e-10,1.957918e-10,1.101824e-10,1.453883e-10,1.325688e-11,7.732723e-11,2.509240e-11,2.555707e-11,1.448690e-12,3.509656e-11,2.050033e-11,1.393947e-11,8.692138e-12,1.579126e-09,7.822849e-11,7.820191e-11,1.735557e-09,5.565702e-10,5.209816e-11,1.294527e-10,7.381211e-10,2.807178e-11,2.807178e-11,1.453883e-10,3.790100e-10,1.325688e-11,5.376553e-10,8.566676e-10,1.838469e-10,5.208450e-10,1.561360e-09,2.885104e-08,9.307969e-10,3.509383e-09,1.554909e-09,2.733377e-07,1.136398e+03,6.087230e-11,6.087230e-11,6.087230e-11,2.216769e-11,2.216769e-11,6.818496e+02,4.545481e+02,6.818496e+02,4.545481e+02
2018-11-21,3.750000e+01,-1.049000e+02,3.872623e-10,1.428153e-11,2.087126e-11,1.327479e-11,3.238524e-11,6.191374e-09,9.091207e-12,1.089682e-13,5.574300e-13,5.411260e-12,2.103783e-12,1.648511e-13,2.931845e-12,1.954823e-12,8.528732e-13,4.447057e-12,3.143888e-12,3.084680e-12,1.971058e-12,1.109219e-12,1.707581e-12,8.897233e-14,1.037949e-12,3.789121e-13,5.574530e-13,3.524497e-14,1.766605e-13,1.031896e-13,4.576089e-13,1.239651e-13,1.681002e-11,8.614241e-13,8.528732e-13,1.852431e-11,8.552993e-12,9.716099e-13,1.954823e-12,1.147943e-11,1.648511e-13,1.648511e-13,1.707581e-12,4.041063e-12,8.897233e-14,5.837616e-12,7.590945e-12,3.084680e-12,9.200175e-12,1.987580e-11,3.872623e-10,1.327479e-11,3.238524e-11,2.087126e-11,6.191374e-09,6.645167e-09,1.021347e-13,1.021347e-13,1.021347e-13,,,,,,
2018-11-21,3.810000e+01,-1.023000e+02,2.420389e-10,8.788632e-12,1.304454e-11,8.589567e-12,2.060879e-11,3.898272e-09,5.627890e-12,6.860959e-14,3.716200e-13,3.246756e-12,1.314864e-12,9.420060e-14,1.804212e-12,1.303215e-12,5.248450e-13,2.964705e-12,2.021071e-12,1.850808e-12,1.314039e-12,7.394793e-13,1.097731e-12,5.560771e-14,6.487184e-13,2.526080e-13,3.644885e-13,2.309153e-14,8.833026e-14,5.159478e-14,2.816055e-13,8.021269e-14,1.047429e-11,5.017432e-13,5.248450e-13,1.150088e-11,5.210339e-12,6.401881e-13,1.303215e-12,7.153742e-12,9.420060e-14,9.420060e-14,1.097731e-12,2.543691e-12,5.560771e-14,3.697030e-12,4.985776e-12,1.850808e-12,5.696499e-12,1.253308e-11,2.420389e-10,8.589567e-12,2.060879e-11,1.304454e-11,3.898272e-09,4.182554e-09,5.106737e-14,5.106737e-14,5.106737e-14,,,,,,
2018-11-21,3.850000e+01,-1.121000e+02,3.429692e-08,1.250183e-09,1.901893e-09,1.184579e-09,2.752746e-09,5.576823e-07,8.199403e-10,9.815208e-12,4.824867e-11,4.686152e-10,1.897349e-10,1.434204e-11,2.618363e-10,1.773459e-10,7.400315e-11,3.943058e-10,2.771113e-10,2.692926e-10,1.803518e-10,9.862807e-11,1.546581e-10,8.363400e-12,8.978263e-11,3.435469e-11,4.997780e-11,3.179339e-12,1.439783e-11,8.427148e-12,4.037519e-11,1.087247e-11,1.478783e-09,7.407263e-11,7.400315e-11,1.626859e-09,7.481328e-10,8.751183e-11,1.773459e-10,1.012990e-09,1.434204e-11,1.434204e-11,1.546581e-10,3.604644e-10,8.363400e-12,5.234858e-10,6.714171e-10,2.692926e-10,8.297555e-10,1.770465e-09,3.429692e-08,1.184579e-09,2.752746e-09,1.901893e-09,5.576823e-07,3.136301e+03,8.017576e-12,8.017576e-12,8.017576e-12,6.137027e-13,6.137027e-13,2.363583e+03,7.727176e+02,2.363583e+03,7.727176e+02
2018-11-21,3.930000e+01,-1.075000e+02,3.146506e-10,1.428153e-11,1.695790e-11,1.015131e-11,3.827347e-11,2.981032e-09,5.627890e-12,5.246616e-14,8.051767e-13,3.517319e-12,1.709324e-12,3.061520e-13,2.931845e-12,1.411817e-12,8.528732e-13,6.423527e-12,2.919324e-12,2.005042e-12,2.135313e-12,1.201654e-12,1.585611e-12,1.445800e-13,8.433339e-13,2.736587e-13,2.787265e-13,1.579947e-14,3.827645e-13,2.235774e-13,1.525363e-13,9.479681e-14,1.722202e-11,8.536750e-13,8.528732e-13,1.892857e-11,6.069977e-12,5.681847e-13,1.411817e-12,8.049978e-12,3.061520e-13,3.061520e-13,1.585611e-12,4.133499e-12,1.445800e-13,5.863689e-12,9.342851e-12,2.005042e-12,5.680356e-12,1.702825e-11,3.146506e-10,1.015131e-11,3.827347e-11,1.695790e-11,2.981032e-09,3.361307e-09,6.638757e-13,6.638757e-13,6.638757e-13,2.417617e-13,2.417617e-13,,,,
2018-11-21,4.070000e+01,-9.690001e+01,1.694272e-10,1.538011e-11,1.695790e-11,3.904349e-12,1.472056e-11,1.834481e-09,6.493719e-12,3.228687e-14,3.096833e-13,2.435067e-12,1.051891e-12,7.065045e-13,9.021061e-13,5.430064e-13,7.216619e-13,3.952940e-12,4.940395e-12,2.005042e-12,2.135313e-12,3.697397e-13,4.878802e-13,1.223370e-13,3.243592e-13,8.420268e-14,4.288100e-14,6.076719e-15,5.888684e-14,1.031896e-13,4.341418e-13,1.239651e-13,1.782510e-11,7.201832e-13,7.216619e-13,1.926695e-11,3.811318e-12,1.331604e-13,5.430064e-13,4.487485e-12,7.065045e-13,7.065045e-13,4.878802e-13,1.271846e-12,1.223370e-13,1.882063e-12,8.893336e-12,2.005042e-12,6.526006e-12,1.742438e-11,1.694272e-10,3.904349e-12,1.472056e-11,1.695790e-11,1.834481e-09,2.039491e-09,,,,,,,,,
